,Internal Contact ID,Latitude,Longitude,BOROUGH,CUR_UNIT11,DEVELOPMEN,NONRES_BLD,RES_BLDG,TDS_NUM,TOT_POP11
52910,87381,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52911,87382,40.8120783,-73.9257377,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52912,87383,40.8135998,-73.9250921,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52913,87384,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52914,87385,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52916,87387,40.8147569,-73.9220382,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52918,87389,40.8136735,-73.9228615,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52922,87394,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52923,87395,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52924,87396,40.8136735,-73.9228615,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52926,87398,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52928,87400,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52929,87401,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52931,87404,40.794506,-73.9485589,MANHATTAN,616.0,LEHMAN VILLAGE,1.0,4.0,101,1430.0
52933,87406,40.7947115,-73.9392054,MANHATTAN,1486.0,JEFFERSON,1.0,18.0,064,3560.0
52935,87408,40.8120783,-73.9257377,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52938,87411,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52939,87412,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52940,87413,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52941,87414,40.813263,-73.924801,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52943,87416,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52946,87419,40.8135998,-73.9250921,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52947,87420,40.8138179,-73.9230441,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52952,87425,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52953,87426,40.8134667,-73.9232611,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52954,87427,40.8135998,-73.9250921,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52955,87428,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52956,87429,40.813263,-73.924801,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52959,87432,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52960,87433,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52962,87435,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52963,87436,40.8134667,-73.9232611,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52964,87437,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52968,87441,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52969,87442,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52970,87443,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52971,87444,40.8135998,-73.9250921,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52972,87445,40.8136735,-73.9228615,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52974,87447,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52975,87448,40.8120783,-73.9257377,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52977,87450,40.8138179,-73.9230441,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52979,87453,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52981,87455,40.8143795,-73.9218216,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52983,87457,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52986,87460,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52987,87461,40.814486,-73.922739,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52989,87463,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52990,87464,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52991,87465,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52992,87466,40.8120783,-73.9257377,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52993,87467,40.814486,-73.922739,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52994,87468,40.8134667,-73.9232611,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52995,87469,40.8134667,-73.9232611,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52996,87470,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
